movie_id,movie_name,year,genre,overview,director,cast
tt0106655,Damini,1993,"crime, drama","after witnessing a rape in her own household, damini fights for justice for the deceased victim. however, she faces a bunch of challenges until she meets a disgraced lawyer who decides to fight the case and bring the culprits to justice.",Rajkumar Santoshi,"Meenakshi Sheshadri, Rishi Kapoor, Sunny Deol, Amrish Puri"
tt26744890,Khichdi 2,2023,,add a plot,Aatish Kapadia,"Pratik Gandhi, Kirti Kulhari, Farah Khan, Anant Vidhaat"
tt4333128,The Huntress,,"action, drama, sci-fi","set in the yrf spy universe, a raw agent who becomes a huntress to protect the prime minister from a notorious terrorist group leader who plans to end the world.",Aatish Kapadia,"Pratik Gandhi, Kirti Kulhari, Farah Khan, Anant Vidhaat"
tt0193449,Rang,1993,"drama, romance",although suchitra has been marry to madhav singh for years she has always been conscious about maintaining a slim figure which in her believe will make her look young. she watched ... see full summary »,Talat Jani,"Jeetendra, Amrita Singh, Kamal Sadanah, Ayesha Jhulka"
tt3429798,Jungle Ki Hasina,1990,"action, adventure",add a plot,K.S. Gopalakrishnan,"Babloo, Narendran, Shankar Sugandhi, Disco Shanti"
tt0430202,Sandwich,2006,"comedy, thriller","sher singh lives with his mother and handicapped sister in punjab but moves to mumbai, changes his name to shekhar, meets nisha and falls in love. when his mother asks him to return, he ... see full summary »",Anees Bazmee,"Govinda, Raveena Tandon, Mahima Chaudhry, Mohnish Behl"
tt0084199,Khud,1982,"action, drama","hari r. srivastav lives a middle-class life in rural india with two step-brothers, govind and rajesh. circumstances compel him to get married to seema, who dislikes govind and rajesh. when ... see full summary »",Ravi Tandon,"Sanjeev Kumar, Amitabh Bachchan, Vinod Mehra, Tanuja Samarth"
tt1039989,Sunday,2008,"action, comedy, mystery","an amnesiac woman fears a missing day in her life may connect her to a crime, and tries to retrace her steps between saturday evening and monday morning.",Rohit Shetty,"Ajay Devgn, Ayesha Takia, Arshad Warsi, Irrfan Khan"
tt1667076,F.A.L.T.U,2011,"comedy, drama","unable to get accepted, four academically-challenged students decide to open their own college.",Remo D'Souza,"Arshad Warsi, Riteish Deshmukh, Jackky Bhagnani, Puja Gupta"
tt11565160,The Y,2023,"horror, mystery, thriller",the female protagonist is a mute. after her marriage the couple enters a new chapter of their life but face another dilemma which they least expect. they experience paranormal incidents and their daily life turns into a mysterious tale.,Girideva Raaj,"Yuvan Hariharan, Leonilla, Apsara, Chethan A"
